ID,Fan_area,Fan_perimeter,Fan_length,Fan_width,Form_facto_fan,Altura_max,Altura_min,Fan_relief,Fan_slope,Pendiente_media_abanico,Fan_profile_curvature,Fan_planform_curvature,Fan_ruggednes,Fan_ volume,Tipo_Abanico,Tipo_asentamiento,Poblado,Cordillera,Main_stream_order,Number_streams,Stream_length,Main_stream_ length,Stream_length_ratio,Bifurcation_ratio,Ro_Coefficient,Length_catchmen,Catchment_area,Catchment_perimeter,Form_factor,Elongation_ratio,Circularity_ratio,Compactness_coefficien,Texture_ratio,Fitness_ratio,Wandering_ratio,Stream_frequency,Drainage_density,Constant_channel_Maintenance,Drainage_intensity,Infiltration_numbe,Torrentiality_coefficient,Length_overland_flow,Catchment_relief,Slope_ catchment_channel,Mean_basin_slope,Relief_ratio,Ruggedness_number,Melton_index,Unidad_geologica,Litologia,Subzona_hidrografica,Catchment
100,0.140,1.730,0.570,0.427,0.431,0.333,0.276,0.057,10.0,8.786,-0.085,0.068,1.074,0.0340,AluvioTorrencial,Sin asentamientos,No,Occidental,8,573,108.51,10.63,1.670,1.470,1.140,9.06,27.16,33.86,0.331,0.649,0.298,1.846,8.461,0.314,1.173,21.097,3.995,0.250,5.281,84.288,10.549,0.125,1.825,17.168,30.224,0.201,9.637,0.350,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
101,0.956,5.750,2.043,0.696,0.229,2.721,2.666,0.055,2.7,6.458,0.094,-0.134,0.813,0.1176,Aluvial,Sin asentamientos,No,Central,5,872,137.325,9.025,1.774,1.721,1.031,7.597,27.133,23.371,0.470,0.774,0.624,1.275,19.083,0.386,1.188,32.138,5.061,0.198,6.350,162.656,16.438,0.099,0.685,7.590,16.323,0.090,4.350,0.132,Anfibolitas de Medellin,Metamorfica Foliada,Rio Cauca,No torrential
102,0.226,3.440,1.056,0.710,0.203,0.677,0.513,0.164,15.5,10.228,0.094,-0.204,1.224,0.1813,AluvioTorrencial,Sin asentamientos,No,Central,4,158,29.236,4.698,2.636,1.993,1.323,4.621,6.22,11.268,0.291,0.609,0.616,1.284,7.100,0.417,1.017,25.402,4.700,0.213,5.404,119.397,12.862,0.106,1.473,31.354,28.298,0.319,7.961,0.591,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
103,0.188,2.811,0.825,0.585,0.276,0.576,0.453,0.123,14.9,10.974,0.126,-0.098,1.339,0.1063,AluvioTorrencial,Centro poblado ,Si,Central,5,249,51.411,6.611,2.142,1.802,1.189,5.861,10.867,15.841,0.316,0.635,0.544,1.365,7.891,0.417,1.128,22.913,4.731,0.211,4.843,108.402,11.503,0.106,1.784,26.985,27.816,0.304,8.640,0.541,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
104,0.227,3.059,1.121,0.407,0.181,0.631,0.471,0.16,14.3,12.771,0.119,-0.183,1.522,0.1878,AluvioTorrencial,Centro poblado ,Si,Central,4,177,33.744,4.228,2.123,1.633,1.300,4.473,6.805,11.081,0.340,0.658,0.696,1.207,8.122,0.382,0.945,26.010,4.959,0.202,5.245,128.977,13.226,0.101,1.497,35.407,29.113,0.335,7.852,0.574,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
105,0.010,0.650,0.148,0.182,0.460,0.311,0.274,0.037,24.9,13.405,0.326,-0.792,1.623,0.0058,Aluvial,Sin asentamientos,No,Central,6,3291,620.935,35.586,1.243,1.659,0.749,30.27,168.38,99.736,0.184,0.484,0.213,2.184,16.499,0.357,1.176,19.545,3.688,0.271,5.300,72.076,9.773,0.136,2.953,8.298,29.919,0.098,15.651,0.228,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
106,2.090,7.268,2.551,1.484,0.321,0.139,0.102,0.037,1.5,3.972,0.010,-0.048,0.540,0.0988,Aluvial,Sin asentamientos,No,Central,7,2304,356,17.637,1.952,1.962,0.982,13.276,67.21,62.042,0.381,0.697,0.219,2.150,18.568,0.284,1.328,34.281,5.297,0.189,6.472,181.579,17.140,0.094,0.997,5.653,21.961,0.075,6.452,0.122,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,No torrential
107,1.951,7.497,3.205,0.941,0.190,0.114,0.095,0.019,0.6,2.809,0.022,-0.023,0.389,0.0638,Aluvial,Sin asentamientos,No,Occidental,5,458,75,6.874,1.861,1.877,0.988,5.886,12.249,23.772,0.354,0.671,0.272,1.930,9.633,0.289,1.168,37.391,6.123,0.163,6.107,228.942,18.695,0.082,0.179,2.604,7.095,0.030,1.093,0.051,Complejo Puqui,Metamorfica Foliada,Rio Taraza,No torrential
108,1.418,6.258,1.910,1.311,0.389,0.122,0.095,0.027,1.4,3.142,0.018,-0.038,0.438,0.0540,Aluvial,Sin asentamientos,No,Occidental,7,6529,1082,45.088,1.975,2.123,0.966,26.376,221.464,109.366,0.318,0.637,0.233,2.088,29.849,0.412,1.709,29.481,4.886,0.205,6.034,144.035,14.741,0.102,1.869,4.145,17.318,0.071,11.278,0.126,Complejo Puqui,Metamorfica Foliada,Rio Taraza,No torrential
109,0.112,1.631,0.677,0.204,0.244,0.398,0.349,0.049,7.2,9.121,0.133,-0.365,1.121,0.0347,Aluvial,Sin asentamientos,No,Occidental,5,532,105.201,10.007,2.357,2.137,1.103,7.6171,24.893,24.474,0.429,0.739,0.522,1.394,10.991,0.409,1.314,21.371,4.226,0.237,5.057,90.319,10.806,0.118,1.434,14.330,22.770,0.188,7.252,0.287,Complejo Puqui,Metamorfica Foliada,Rio Taraza,Torrential
110,0.326,3.475,1.305,0.233,0.192,0.47,0.393,0.077,5.9,7.154,0.134,-0.207,0.873,0.1053,AluvioTorrencial,Sin asentamientos,No,Occidental,4,557,102.067,13.207,1.761,1.661,1.060,11.415,23.078,29.057,0.177,0.475,0.343,1.718,9.705,0.455,1.157,24.136,4.423,0.226,5.457,106.744,12.219,0.113,1.72,13.023,21.068,0.151,9.386,0.358,Complejo Puqui,Metamorfica Foliada,Rio Taraza,Torrential
111,0.063,1.072,0.430,0.220,0.343,0.341,0.317,0.024,5.6,8.488,0.270,-0.378,1.042,0.0108,Aluvial,Sin asentamientos,No,Occidental,5,532,105.201,10.007,2.357,2.137,1.103,7.6171,24.893,24.474,0.429,0.739,0.522,1.394,10.991,0.409,1.314,21.371,4.226,0.237,5.057,90.319,10.806,0.118,1.434,14.330,22.770,0.188,7.252,0.287,Complejo Puqui,Metamorfica Foliada,Rio Taraza,Torrential
112,0.092,1.937,0.751,0.308,0.164,0.368,0.32,0.048,6.4,6.906,0.143,-0.251,0.851,0.0378,AluvioTorrencial,Sin asentamientos,No,Occidental,4,557,102.067,13.207,1.761,1.661,1.060,11.415,23.078,29.057,0.177,0.475,0.343,1.718,9.705,0.455,1.157,24.136,4.423,0.226,5.457,106.744,12.219,0.113,1.72,13.023,21.068,0.151,9.386,0.358,Complejo Puqui,Metamorfica Foliada,Rio Taraza,Torrential
113,0.050,1.173,0.438,0.177,0.262,0.169,0.126,0.043,9.8,7.586,0.136,-0.303,0.970,0.0197,Aluvial,Sin asentamientos,No,Occidental,6,3063,353,29.337,2.12,2.009,1.067,20.563,118.483,83.881,0.280,0.597,0.212,2.189,18.258,0.350,1.427,25.852,2.979,0.336,8.677,77.021,12.926,0.168,2.192,7.472,21.336,0.107,19.020,0.201,Complejo Puqui,Metamorfica Foliada,Rio Taraza,Torrential
114,1.040,5.814,1.376,1.711,0.549,0.116,0.091,0.025,1.8,3.973,0.027,-0.045,0.533,0.0360,Aluvial,Centro poblado ,Si,Occidental,7,23623,4370,66.067,1.916,1.841,1.041,58.141,412.87,289.299,0.298,0.616,0.151,2.590,40.828,0.228,1.136,23.457,4.339,0.230,5.406,101.790,11.729,0.115,3.028,4.583,25.793,0.052,16.369,0.095,Complejo Puqui,Metamorfica Foliada,Rio Taraza,No torrential
115,0.510,3.344,1.143,0.988,0.391,0.061,0.039,0.022,1.9,3.715,0.036,-0.047,0.509,0.0263,Aluvial,Sin asentamientos,No,Central,5,1299,238.388,14.805,1.917,1.9123,1.002,12.55,44.956,35.895,0.285,0.603,0.438,1.521,18.387,0.412,1.180,28.895,5.303,0.189,5.449,153.221,14.681,0.094,0.51,3.445,13.613,0.041,2.779,0.076,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
116,0.175,1.834,0.547,0.539,0.585,0.332,0.279,0.053,9.7,6.338,0.023,-0.070,0.797,0.0304,AluvioTorrencial,Sin asentamientos,No,Central,3,23,4.017,2.056,1.552,2.0952,0.741,1.841,1.173,5.067,0.346,0.664,0.574,1.329,2.566,0.406,1.117,19.608,3.425,0.292,5.726,67.148,11.083,0.146,0.468,22.763,20.415,0.254,2.680,0.432,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,Torrential
117,0.062,1.094,0.403,0.216,0.379,0.339,0.258,0.081,20.1,9.475,0.109,-0.190,1.143,0.0342,Aluvial,Sin asentamientos,No,Central,4,147,23.819,4.501,4.535,1.9497,2.326,4.118,5.379,10.947,0.317,0.636,0.564,1.341,6.851,0.411,1.093,27.328,4.428,0.226,6.172,121.015,13.943,0.113,0.468,10.398,16.741,0.114,2.888,0.202,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
118,0.142,1.943,0.632,0.471,0.356,0.275,0.238,0.037,5.9,6.065,0.059,-0.107,0.768,0.0245,Aluvial,Sin asentamientos,No,Central,4,74,10.988,2.687,1.959,1.7273,1.134,2.357,2.76,7.277,0.497,0.795,0.655,1.244,5.359,0.369,1.140,26.812,3.981,0.251,6.735,106.741,14.130,0.126,0.417,15.519,21.017,0.177,2.808,0.251,Grupo Cajamarca,Metamorfica Foliada,Bajo Nechi,Torrential
119,0.119,1.638,0.556,0.277,0.387,0.25,0.212,0.038,6.8,6.944,0.202,-0.275,0.876,0.0221,Aluvial,Sin asentamientos,No,Central,5,208,35.659,5.201,1.813,1.7634,1.028,4.207,7.547,13.251,0.426,0.737,0.540,1.370,7.999,0.392,1.236,27.561,4.725,0.212,5.833,130.222,14.045,0.106,0.489,9.402,18.536,0.116,2.852,0.178,Grupo Cajamarca,Metamorfica Foliada,Bajo Nechi,No torrential
120,0.075,1.226,0.236,0.468,1.346,0.27,0.217,0.053,22.4,9.909,0.023,-0.033,1.168,0.0131,AluvioTorrencial,Sin asentamientos,No,Central,2,11,2.002,1.085,1.000,1.2000,0.833,1.124,0.55,3.046,0.435,0.745,0.745,1.167,1.970,0.356,0.965,20.000,3.640,0.275,5.495,72.800,10.909,0.137,0.362,33.364,21.496,0.322,1.989,0.488,Grupo Cajamarca,Metamorfica Foliada,Bajo Nechi,Torrential
121,0.341,2.527,0.647,0.729,0.815,0.209,0.18,0.029,4.5,4.124,0.017,-0.056,0.542,0.0197,Aluvial,Sin asentamientos,No,Central,5,529,84.574,9.463,2.064,1.7722,1.165,6.982,18.704,19.487,0.384,0.699,0.619,1.280,13.804,0.486,1.355,28.283,4.522,0.221,6.255,127.886,14.382,0.111,0.534,5.643,18.203,0.076,3.340,0.123,Grupo Cajamarca,Metamorfica Foliada,Bajo Nechi,No torrential
122,0.207,2.269,0.612,0.588,0.554,0.252,0.201,0.051,8.3,5.294,0.050,-0.108,0.677,0.0327,Aluvial,Sin asentamientos,No,Central,3,43,7.288,2.518,1.373,1.5972,0.860,2.31,1.725,5.997,0.323,0.642,0.603,1.297,3.669,0.420,1.090,24.928,4.225,0.237,5.900,105.317,12.754,0.118,0.371,14.734,21.199,0.161,2.189,0.282,Grupo Cajamarca,Metamorfica Foliada,Bajo Nechi,Torrential
123,0.086,1.738,0.505,0.428,0.336,0.224,0.198,0.026,5.1,6.192,0.189,-0.229,0.777,0.0138,Aluvial,Sin asentamientos,No,Central,3,47,10.031,2.24,2.211,1.7375,1.273,1.979,2.409,6.166,0.615,0.885,0.796,1.129,3.892,0.363,1.132,19.510,4.164,0.240,4.685,81.240,9.963,0.120,0.444,19.821,20.019,0.224,2.080,0.286,Grupo Cajamarca,Metamorfica Foliada,Bajo Nechi,Torrential
124,0.481,3.455,1.066,0.417,0.423,0.287,0.25,0.037,3.5,5.480,0.045,-0.083,0.703,0.0413,Aluvial,Sin asentamientos,No,Central,6,4925,876.803,25.145,1.940,1.9100,1.016,17.725,170.754,66.481,0.543,0.832,0.485,1.445,37.695,0.378,1.419,28.843,5.135,0.195,5.617,148.104,14.676,0.097,0.962,3.826,14.263,0.054,5.404,0.074,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
125,0.119,1.943,0.842,0.179,0.168,0.521,0.48,0.041,4.9,9.440,0.317,-0.438,1.141,0.0361,Aluvial,Sin asentamientos,No,Central,5,395,66.104,5.936,1.838,1.8023,1.020,5.146,12.695,15.58,0.479,0.781,0.657,1.242,13.158,0.381,1.154,31.115,5.207,0.192,5.975,162.017,16.148,0.096,0.247,4.161,12.686,0.048,1.476,0.069,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
126,0.091,1.440,0.515,0.163,0.342,0.221,0.204,0.017,3.3,4.734,0.022,-0.096,0.609,0.0092,Aluvial,Sin asentamientos,No,Central,6,2536,451.595,16.86,1.954,1.9978,0.978,12.978,87.449,50.904,0.519,0.813,0.424,1.546,25.460,0.331,1.299,29.000,5.164,0.194,5.616,149.758,14.820,0.097,0.771,4.573,14.973,0.059,4.330,0.082,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
127,0.073,1.964,0.769,0.202,0.122,0.199,0.169,0.03,3.9,8.045,0.206,-0.328,0.987,0.0242,Aluvial,Sin asentamientos,No,Central,5,320,58.535,6.414,1.832,1.8345,0.999,5.458,11.694,16.136,0.393,0.707,0.564,1.341,10.164,0.397,1.175,27.364,5.006,0.200,5.467,136.974,14.024,0.100,0.329,5.129,15.624,0.060,1.799,0.096,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
128,0.086,1.524,0.571,0.206,0.264,0.715,0.666,0.049,8.6,9.171,0.148,-0.253,1.124,0.0293,AluvioTorrencial,Sin asentamientos,No,Central,4,162,26.463,4.722,5.566,7.3088,0.762,3.975,7.156,11.199,0.453,0.759,0.717,1.189,6.429,0.422,1.188,22.638,3.698,0.270,6.122,83.717,10.061,0.135,1.407,29.797,28.927,0.354,8.613,0.526,Formacion Quebradagrande,Ignea Volcanica ,Rio Arma,Torrential
129,0.081,1.683,0.575,0.239,0.245,0.706,0.653,0.053,9.2,8.289,0.119,-0.195,1.007,0.0319,AluvioTorrencial,Sin asentamientos,No,Central,5,334,43.705,9.494,2.065,1.7194,1.201,6.984,18.752,21.404,0.384,0.700,0.514,1.404,5.279,0.444,1.359,17.811,2.331,0.429,7.642,41.513,6.026,0.215,1.873,19.728,24.253,0.268,14.314,0.433,Formacion Quebradagrande,Ignea Volcanica ,Rio Arma,Torrential
130,0.038,1.012,0.330,0.156,0.350,2.131,2.082,0.049,14.8,10.853,0.283,-0.413,1.298,0.0170,AluvioTorrencial,Sin asentamientos,No,Central,3,29,4.836,1.826,36.564,7.0769,5.167,1.868,1.468,4.734,0.421,0.732,0.823,1.110,3.169,0.386,0.978,19.755,3.294,0.304,5.997,65.078,10.218,0.152,0.591,32.366,24.272,0.316,3.544,0.488,Stock de la Honda,Ignea Plutonica,Rio Arma,Torrential
131,0.016,0.710,0.233,0.142,0.291,2.046,2.008,0.038,16.3,14.476,0.862,-1.492,1.899,0.0093,AluvioTorrencial,Sin asentamientos,No,Central,2,9,1.147,0.455,1.420,1.2500,1.136,0.447,0.35,2.293,1.752,1.493,0.837,1.101,2.181,0.198,1.018,25.714,3.277,0.305,7.847,84.269,14.286,0.153,0.254,55.824,25.902,0.568,1.993,0.429,Stock de la Honda,Ignea Plutonica,Rio Arma,Torrential
132,0.180,1.977,0.595,0.559,0.507,2.227,2.121,0.106,17.8,11.646,0.076,-0.134,1.376,0.0661,Vertiente,Casas rurales dispersas,Si,Central,2,3,1.32,0.762,15.923,2.0000,7.962,0.772,0.336,2.252,0.564,0.847,0.833,1.104,0.888,0.338,0.987,8.929,3.929,0.255,2.273,35.077,5.952,0.127,0.289,37.927,24.032,0.374,0.657,0.499,Migmatitas de puerto Pelaez,Metamorfica Foliada,Rio Arma,Torrential
133,0.206,2.739,1.056,0.355,0.185,2.431,2.295,0.136,12.9,8.185,-0.003,-0.019,0.972,0.1503,AluvioTorrencial,Sin asentamientos,No,Central,3,11,3.555,1.695,2.350,1.8333,1.282,1.644,0.806,4.002,0.298,0.616,0.632,1.266,1.499,0.424,1.031,13.648,4.411,0.227,3.094,60.195,7.444,0.113,0.556,32.802,23.591,0.338,1.720,0.619,Batolito de Sonson,Ignea Plutonica,Rio Arma,Torrential
134,0.071,1.331,0.533,0.283,0.250,2.433,2.333,0.1,18.8,9.804,-0.003,0.032,1.164,0.0558,Vertiente,Sin asentamientos,No,Central,1,1,0.092,0.12,2.000,2.0000,1.000,0.152,0.07,1.08,3.030,1.964,0.754,1.160,0.926,0.111,0.789,14.286,1.314,0.761,10.870,18.776,14.286,0.380,0.162,59.000,22.933,0.531,1.761,0.612,Batolito de Sonson,Ignea Plutonica,Rio Arma,Torrential
135,0.547,3.751,1.119,1.030,0.437,1.557,1.265,0.292,24.0,14.662,-0.024,-0.051,1.722,0.3421,AluvioTorrencial,Casas rurales dispersas,Si,Central,4,51,12.37,2.629,15.209,4.7273,3.217,2.457,2.578,6.327,0.427,0.737,0.809,1.120,4.109,0.416,1.070,19.783,4.798,0.208,4.123,94.924,10.085,0.104,1.349,51.312,30.124,0.549,5.562,0.840,Grupo Cajamarca,Metamorfica Foliada,Rio Arma,Torrential
136,0.171,2.412,0.891,0.455,0.215,1.495,1.275,0.22,24.7,12.822,0.036,0.135,1.479,0.2053,AluvioTorrencial,Casas rurales dispersas,Si,Central,4,31,5.841,1.991,2.953,1.7778,1.661,2.132,1.671,5.758,0.368,0.684,0.633,1.265,2.779,0.346,0.934,18.552,3.496,0.286,5.307,64.848,9.575,0.143,1.086,54.545,33.156,0.509,5.764,0.840,Grupo Cajamarca,Metamorfica Foliada,Rio Arma,Torrential
137,0.135,1.987,0.709,0.355,0.269,0.794,0.758,0.036,5.1,9.421,0.215,-0.300,1.159,0.0267,Aluvial,Sin asentamientos,No,Central,6,4375,832.959,24.543,1.916,1.7858,1.073,18.202,196.354,74.305,0.593,0.869,0.447,1.507,29.769,0.330,1.348,22.281,4.242,0.236,5.252,94.520,11.265,0.118,1.804,7.350,28.153,0.099,9.475,0.129,Grupo Cajamarca,Metamorfica Foliada,Rio Arma,Torrential
138,0.034,0.951,0.354,0.180,0.272,0.779,0.678,0.101,24.0,15.657,-0.023,0.131,1.868,0.0374,AluvioTorrencial,Casas rurales dispersas,Si,Central,3,67,9.449,3.157,1.517,1.6192,0.937,2.661,2.249,7.274,0.318,0.636,0.534,1.378,4.674,0.434,1.186,29.791,4.201,0.238,7.091,125.165,15.118,0.119,0.551,17.453,26.939,0.207,3.907,0.367,Grupo Cajamarca,Metamorfica Foliada,Rio Miel,Torrential
139,0.034,1.147,0.428,0.178,0.184,0.723,0.684,0.039,9.1,9.145,0.212,-0.374,1.173,0.0175,AluvioTorrencial,Sin asentamientos,No,Central,3,67,9.449,3.157,1.517,1.6192,0.937,2.661,2.249,7.274,0.318,0.636,0.534,1.378,4.674,0.434,1.186,29.791,4.201,0.238,7.091,125.165,15.118,0.119,0.551,17.453,26.939,0.207,3.907,0.367,Grupo Cajamarca,Metamorfica Foliada,Rio Miel,Torrential
140,0.023,0.812,0.288,0.164,0.273,0.721,0.688,0.033,11.5,12.937,0.875,-1.021,1.652,0.0100,AluvioTorrencial,Sin asentamientos,No,Central,3,19,3.309,1.059,2.549,1.8333,1.390,1.205,0.921,3.697,0.634,0.899,0.847,1.094,2.705,0.286,0.879,20.630,3.593,0.278,5.742,74.119,10.858,0.139,0.343,32.389,25.759,0.285,1.969,0.357,Grupo Cajamarca,Metamorfica Foliada,Rio Miel,Torrential
141,0.117,1.689,0.653,0.255,0.273,0.725,0.646,0.079,12.1,17.238,0.353,-0.595,2.165,0.0540,Aluvial,Sin asentamientos,No,Central,6,3318,594.086,22.64,1.880,1.7970,1.046,18.224,135.706,54.081,0.409,0.721,0.583,1.319,31.749,0.419,1.242,24.450,4.378,0.228,5.585,107.035,12.652,0.114,2.68,11.837,26.463,0.147,14.968,0.230,Batolito de Sonson,Ignea Plutonica,Rio Miel,Torrential
142,1.542,5.619,1.675,1.514,0.550,0.217,0.184,0.033,2.0,3.722,0.022,-0.053,0.506,0.0579,Aluvial,Sin asentamientos,No,Central,12,17531,15096.09,111.85,0.999,2.053,0.486,85.275,486.87,384.031,0.325,0.644,0.202,2.243,23.092,0.291,1.312,7.413,6.383,0.157,1.161,47.316,3.750,0.078,3.673,3.284,26.927,0.043,4.265,0.076,Grupo Cajamarca,Metamorfica Foliada,Rio Miel,No torrential
143,0.069,1.465,0.570,0.296,0.212,0.633,0.588,0.045,7.9,8.233,0.181,-0.299,0.983,0.0269,AluvioTorrencial,Sin asentamientos,No,Central,5,669,98.581,8.209,2.917,2.771,1.053,6.37,24.326,20.598,0.600,0.874,0.720,1.186,13.982,0.399,1.289,27.501,4.052,0.247,6.786,111.449,11.839,0.123,1.65,20.100,26.836,0.259,11.197,0.335,Grupo Cajamarca,Metamorfica Foliada,Rio Miel,Torrential
144,0.029,1.180,0.320,0.267,0.282,0.664,0.636,0.028,8.7,9.891,0.468,-0.665,1.244,0.0094,Aluvial,Sin asentamientos,No,Central,6,497,80.93,5.834,54.197,8.566,6.327,4.943,18.963,18.189,0.776,0.994,0.720,1.187,13.910,0.321,1.180,26.209,4.268,0.234,6.141,111.854,13.342,0.117,0.933,15.992,23.828,0.189,5.730,0.214,Formacion Abejorral,Sedimentaria detritica,Directos magdalena,Torrential
145,0.499,4.337,1.640,0.711,0.186,0.372,0.34,0.032,2.0,5.710,0.043,-0.067,0.724,0.0550,Aluvial,Sin asentamientos,No,Central,6,4313,756.326,28.405,1.828,1.771,1.032,23.066,162.807,69.939,0.306,0.624,0.418,1.557,31.256,0.406,1.231,26.491,4.646,0.215,5.703,123.067,13.427,0.108,1.903,6.700,23.243,0.083,10.852,0.149,Grupo Cajamarca,Metamorfica Foliada,Directos magdalena,Torrential
146,0.463,4.554,1.807,0.523,0.142,0.446,0.346,0.1,5.5,8.464,0.173,-0.196,1.068,0.1892,Aluvial,Sin asentamientos,No,Central,5,434,69.811,9.04,4.561,3.917,1.164,7.728,15.529,24.405,0.260,0.575,0.328,1.759,9.137,0.370,1.170,27.948,4.496,0.222,6.217,125.640,14.360,0.111,0.716,7.920,19.401,0.093,4.451,0.182,Grupo Cajamarca,Metamorfica Foliada,Directos magdalena,No torrential
147,0.377,3.240,1.026,0.458,0.358,0.424,0.364,0.06,5.8,6.783,0.105,-0.144,0.842,0.0644,Aluvial,Sin asentamientos,No,Central,6,2790,458.491,24.234,1.871,1.912,0.979,18.328,93.173,56.633,0.277,0.594,0.365,1.667,25.109,0.428,1.322,29.944,4.921,0.203,6.085,147.352,15.262,0.102,0.73,3.012,17.529,0.040,4.442,0.076,Grupo Cajamarca,Metamorfica Foliada,Directos magdalena,No torrential
148,0.084,1.765,0.749,0.126,0.151,0.445,0.411,0.034,4.5,7.655,0.269,-0.425,0.945,0.0267,Aluvial,Sin asentamientos,No,Central,4,137,20.017,3.496,1.690,1.658,1.019,2.71,4.6,8.895,0.626,0.893,0.731,1.178,7.870,0.393,1.290,29.783,4.352,0.230,6.844,129.600,15.217,0.115,0.233,6.665,17.717,0.086,1.595,0.109,Grupo Cajamarca,Metamorfica Foliada,Directos magdalena,No torrential
149,0.024,0.714,0.300,0.115,0.262,0.228,0.19,0.038,12.6,12.911,0.218,-0.592,1.583,0.0120,Aluvial,Sin asentamientos,No,Central,4,307,49.803,6.601,1.603,1.737,0.923,5.523,9.696,16.019,0.318,0.636,0.475,1.462,10.051,0.412,1.195,31.663,5.136,0.195,6.164,162.633,16.605,0.097,0.398,6.029,14.243,0.072,2.453,0.128,Grupo Cajamarca,Metamorfica Foliada,Directos magdalena,No torrential
150,0.107,1.849,0.703,0.242,0.216,0.161,0.149,0.012,1.7,3.926,0.017,-0.063,0.528,0.0088,Aluvial,Sin asentamientos,No,Central,5,466,78.202,8.449,2.264,2.342,0.967,7.306,15.303,21.62,0.287,0.604,0.411,1.570,11.147,0.391,1.156,30.452,5.110,0.196,5.959,155.615,15.749,0.098,0.351,4.154,14.704,0.048,2.092,0.090,Grupo Cajamarca,Metamorfica Foliada,Directos magdalena,No torrential
151,0.065,1.187,0.479,0.187,0.285,0.515,0.495,0.02,4.2,5.049,0.098,-0.193,0.660,0.0100,Aluvial,Sin asentamientos,No,Central,5,324,48.599,6.496,2.486,3.338,0.745,5.387,10.581,16.316,0.365,0.681,0.499,1.425,10.358,0.398,1.206,30.621,4.593,0.218,6.667,140.643,15.972,0.109,0.41,6.312,14.097,0.076,2.733,0.126,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
152,0.091,1.820,0.609,0.253,0.244,0.532,0.49,0.042,6.9,6.702,0.160,-0.193,0.838,0.0268,Aluvial,Sin asentamientos,No,Central,3,19,3.214,0.941,2.411,1.650,1.461,0.844,0.583,3.003,0.818,1.021,0.812,1.117,3.330,0.313,1.115,32.590,5.513,0.181,5.912,179.665,17.153,0.091,0.116,12.327,14.862,0.137,0.686,0.152,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,Torrential
153,0.066,1.881,0.752,0.196,0.118,0.508,0.488,0.02,2.7,5.588,0.235,-0.314,0.712,0.0157,Aluvial,Sin asentamientos,No,Central,3,68,9.907,3.038,1.494,1.561,0.957,1.826,2.31,7.754,0.693,0.939,0.483,1.449,4.514,0.392,1.664,29.437,4.289,0.233,6.864,126.249,15.152,0.117,0.18,5.925,13.556,0.099,1.235,0.118,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
154,0.030,1.073,0.386,0.143,0.200,0.505,0.487,0.018,4.7,5.397,0.243,-0.296,0.663,0.0073,Aluvial,Sin asentamientos,No,Central,3,43,4.877,1.767,1.568,1.657,0.947,1.777,1.161,4.727,0.368,0.684,0.653,1.246,4.866,0.374,0.994,37.037,4.201,0.238,8.817,155.581,19.811,0.119,0.171,9.677,15.287,0.096,1.508,0.159,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
155,0.059,1.309,0.577,0.194,0.177,0.211,0.195,0.016,2.8,4.655,0.109,0.188,0.612,0.0097,Aluvial,Casas rurales dispersas,Si,Central,4,450,75.063,11.521,1.597,1.883,0.848,10.053,17.69,24.215,0.175,0.472,0.379,1.636,9.498,0.476,1.146,25.438,4.243,0.236,5.995,107.940,13.002,0.118,0.494,4.288,19.117,0.049,2.962,0.117,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,No torrential
156,0.029,0.904,0.287,0.220,0.350,0.496,0.476,0.02,7.0,6.214,0.152,-0.241,0.785,0.0060,Aluvial,Sin asentamientos,No,Central,3,44,7.068,1.194,2.650,2.300,1.152,1.233,1.536,5.481,1.010,1.134,0.643,1.256,4.744,0.218,0.968,28.646,4.602,0.217,6.225,131.816,16.927,0.109,0.169,14.154,16.766,0.137,1.052,0.136,Batolito de Segovia,Ignea Plutonica,Bajo Nechi,Torrential
157,0.057,1.145,0.472,0.189,0.256,0.178,0.15,0.028,5.9,10.619,0.139,-0.473,1.304,0.0138,Aluvial,Sin asentamientos,No,Central,6,1308,228.183,13.341,2.111,2.063,1.024,9.982,50.689,36.509,0.509,0.805,0.478,1.457,18.324,0.365,1.337,25.804,4.502,0.222,5.732,116.162,13.198,0.111,0.615,4.610,18.787,0.062,3.525,0.086,Gneis de San Lucas,Metamorfica Foliada,Bajo Nechi,No torrential
