ID,Fan_area,Fan_perimeter,Fan_length,Fan_width,Form_facto_fan,Altura_max,Altura_min,Fan_relief,Fan_slope,Pendiente_media_abanico,Fan_profile_curvature,Fan_planform_curvature,Fan_ruggednes,Fan_ volume,Tipo_Abanico,Tipo_asentamiento,Poblado,Cordillera,Main_stream_order,Number_streams,Stream_length,Main_stream_ length,Stream_length_ratio,Bifurcation_ratio,Ro_Coefficient,Length_catchmen,Catchment_area,Catchment_perimeter,Form_factor,Elongation_ratio,Circularity_ratio,Compactness_coefficien,Texture_ratio,Fitness_ratio,Wandering_ratio,Stream_frequency,Drainage_density,Constant_channel_Maintenance,Drainage_intensity,Infiltration_numbe,Torrentiality_coefficient,Length_overland_flow,Catchment_relief,Slope_ catchment_channel,Mean_basin_slope,Relief_ratio,Ruggedness_number,Melton_index,Unidad_geologica,Litologia,Subzona_hidrografica,Catchment
63,0.593,3.848,1.249,0.874,0.380,0.892,0.744,0.148,11.8,8.495,0.017,-0.042,1.027,0.1936,AluvioTorrencial,Centro poblado ,Si,Central,4,152,28.08,6.752,1.658,1.752,0.946,5.842,7.261,14.382,0.213,0.520,0.441,1.516,5.423,0.469,1.156,20.934,3.867,0.259,5.413,80.956,10.742,0.129,1.643,24.334,27.893,0.281,8.894,0.610,Batolito Antioque�o,Ignea Plutonica,Rio Cauca,Torrential
64,0.371,3.603,1.387,0.538,0.193,0.882,0.754,0.128,9.2,7.264,0.081,-0.158,0.885,0.1860,AluvioTorrencial,Centro poblado ,Si,Central,5,263,51.443,8.633,2.983,2.547,1.171,7.026,12.962,20.033,0.263,0.578,0.406,1.581,6.639,0.431,1.229,20.290,3.969,0.252,5.112,80.526,10.261,0.126,1.615,18.707,27.613,0.230,8.257,0.449,Batolito Antioque�o,Ignea Plutonica,Rio Cauca,Torrential
65,2.272,9.901,2.671,2.881,0.318,0.88,0.583,0.297,11.1,7.495,-0.011,0.003,0.917,0.8306,AluvioTorrencial,Centro poblado ,Si,Central,6,692,145.837,12.024,2.136,1.895,1.127,9.682,32.981,28.052,0.352,0.669,0.527,1.388,12.477,0.429,1.242,20.982,4.422,0.226,4.745,92.778,10.612,0.113,2.000,16.633,26.075,0.207,9.490,0.348,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
66,2.901,8.854,2.614,1.210,0.425,0.825,0.548,0.277,10.6,11.175,-0.048,0.030,1.338,0.7582,AluvioTorrencial,Centro poblado ,Si,Central,5,535,104.122,9.744,1.980,1.738,1.140,8.763,24.002,22.611,0.313,0.631,0.590,1.311,11.941,0.431,1.112,22.290,4.338,0.231,5.138,96.694,11.249,0.115,1.792,18.391,28.351,0.204,9.208,0.366,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
67,0.260,2.458,0.647,0.769,0.620,1.335,1.226,0.109,16.8,10.582,-0.120,0.127,1.271,0.0739,Vertiente,Casas rurales dispersas,Si,Occidental,2,14,2.415,0.791,0.874,1.333,0.655,0.766,0.467,2.731,0.796,1.007,0.787,1.135,2.929,0.290,1.033,29.979,5.171,0.193,5.797,155.028,17.131,0.097,0.126,15.929,16.550,0.164,0.730,0.184,Formacion Penderisco,Sedimentaria detritica,Rio San juan,Torrential
68,0.530,3.971,1.018,1.321,0.512,1.253,1.121,0.132,13.0,13.247,0.018,-0.023,1.582,0.1408,Aluvial,Casas rurales dispersas,Si,Occidental,3,23,3.462,2.199,1.451,2.188,0.664,1.818,1.396,5.262,0.422,0.733,0.634,1.265,2.281,0.418,1.210,16.476,2.480,0.403,6.644,40.859,8.596,0.202,0.351,15.962,23.045,0.193,2.332,0.297,Formacion Penderisco,Sedimentaria detritica,Rio San juan,Torrential
69,0.508,4.097,0.868,1.172,0.675,1.162,1.05,0.112,12.9,10.323,-0.019,-0.014,1.246,0.1018,AluvioTorrencial,Casas rurales dispersas,Si,Occidental,3,27,4.002,1.472,3.453,2.367,1.459,1.352,1.308,4.447,0.716,0.955,0.831,1.105,3.148,0.331,1.089,20.642,3.060,0.327,6.747,63.158,10.703,0.163,0.350,23.777,24.782,0.259,2.361,0.306,Formacion Penderisco,Sedimentaria detritica,Rio San juan,Torrential
70,0.982,4.944,1.811,0.889,0.299,1.074,0.926,0.148,8.2,12.522,0.023,-0.041,1.487,0.2807,AluvioTorrencial,Centro poblado ,Si,Occidental,6,1298,189.938,24.893,2.116,1.947,1.087,20.574,59.207,50.948,0.140,0.422,0.287,1.881,12.837,0.489,1.210,21.923,3.208,0.312,6.834,70.330,11.046,0.156,2.617,10.513,29.581,0.127,17.884,0.340,Formacion Penderisco,Sedimentaria detritica,Rio San juan,Torrential
71,0.790,5.035,1.779,0.724,0.250,0.916,0.605,0.311,17.5,14.120,-0.014,-0.001,1.651,0.5792,Vertiente,Sin asentamientos,No,Occidental,3,59,17.931,2.466,3.866,2.538,1.523,1.964,3.353,6.978,0.869,1.052,0.865,1.083,4.443,0.353,1.256,17.596,5.348,0.187,3.290,94.100,9.245,0.093,0.793,32.157,25.215,0.404,2.609,0.433,Formacion Barroso,Ignea Volcanica ,Rio San juan,Torrential
72,0.119,1.759,0.537,0.417,0.413,0.574,0.544,0.03,5.6,6.298,0.097,-0.154,0.805,0.0169,Aluvial,Casas rurales dispersas,Si,Occidental,7,9441,3338.444,70.187,2.068,1.924,1.042,66.779,458.67,295.098,0.316,0.635,0.204,2.232,15.996,0.238,1.051,6.691,2.366,0.423,2.828,15.830,3.345,0.211,3.425,4.880,26.431,0.051,9.686,0.091,Formacion Penderisco,Sedimentaria detritica,Rio San juan,No torrential
73,2.248,9.410,2.577,2.151,0.339,1.937,1.855,0.082,3.2,5.165,0.009,-0.043,0.656,0.2212,Aluvial,Casas rurales dispersas,Si,Occidental,5,1520,249.309,20.851,1.667,1.679,0.993,15.302,67.467,41.647,0.288,0.606,0.489,1.440,18.417,0.501,1.363,22.530,3.695,0.271,6.097,83.253,11.369,0.135,1.103,5.290,25.757,0.072,6.725,0.134,Formacion Penderisco,Sedimentaria detritica,Rio Murri,No torrential
74,0.521,3.810,1.378,0.825,0.275,1.964,1.904,0.06,4.4,7.837,0.046,-0.064,0.949,0.0866,Aluvial,Casas rurales dispersas,Si,Occidental,5,412,66.547,8.635,1.771,1.808,0.980,6.77,18.109,19.508,0.395,0.709,0.598,1.302,10.611,0.443,1.275,22.751,3.675,0.272,6.191,83.606,11.431,0.136,1.271,14.719,26.771,0.188,7.869,0.299,Formacion Penderisco,Sedimentaria detritica,Rio Murri,Torrential
75,4.893,12.510,5.325,1.697,0.173,2.619,2.169,0.45,8.5,9.596,-0.007,-0.028,1.156,2.5091,Aluvial,Casas rurales dispersas,Si,Occidental,5,656,132.986,8.771,2.180,2.625,0.830,6.947,29.673,24.016,0.615,0.885,0.647,1.253,15.989,0.365,1.263,22.108,4.482,0.223,4.933,99.080,12.941,0.112,1.305,14.879,23.253,0.188,6.437,0.240,Formacion Penderisco,Sedimentaria detritica,Rio Murri,Torrential
76,2.102,7.465,2.660,1.368,0.297,1.896,1.847,0.049,1.8,4.331,0.029,-0.070,0.570,0.1365,Aluvial,Casas rurales dispersas,Si,Occidental,6,5335,903.93,31.264,78.005,1.948,40.037,24.129,237.26,77.33,0.408,0.720,0.499,1.426,34.877,0.404,1.296,22.486,3.810,0.262,5.902,85.668,11.367,0.131,1.542,4.932,24.972,0.064,9.101,0.100,Formacion Penderisco,Sedimentaria detritica,Rio Murri,No torrential
77,7.236,16.428,6.015,2.040,0.200,0.621,0.474,0.147,2.4,5.662,0.001,-0.042,0.721,0.9259,Aluvial,Centro poblado ,Si,Occidental,10,9760,1701.22,39.72,1.850,1.500,1.230,29.28,415.32,133.46,0.484,0.785,0.293,1.861,36.565,0.298,1.357,23.500,4.096,0.244,5.737,96.260,11.750,0.122,3.020,7.603,27.386,0.103,17.326,0.148,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
78,1.449,8.805,1.944,2.352,0.383,0.593,0.464,0.129,6.6,6.441,0.008,-0.048,0.810,0.2626,Aluvial,Centro poblado ,Si,Central,3,222,9.985,3.899,1.731,1.833,0.944,3.73,8.44,18.043,0.607,0.879,0.326,1.764,6.152,0.216,1.045,26.303,1.183,0.845,22.233,31.118,13.152,0.423,0.720,18.466,17.611,0.193,16.008,0.248,FormacionAmaga,Sedimentaria detritica,Rio Cauca,Torrential
79,0.658,5.265,1.784,1.026,0.207,0.569,0.456,0.113,6.3,8.527,0.024,-0.047,1.023,0.2111,AluvioTorrencial,Centro poblado ,Si,Central,4,200,12.391,6.434,0.686,"1.,5",0.457,6.266,9.58,20.392,0.244,0.557,0.290,1.872,4.904,0.316,1.027,20.877,1.293,0.773,16.141,27.003,10.438,0.387,1.350,20.982,28.191,0.215,21.790,0.436,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
